variable,value
majors_declared,"sample(2:4, 1, replace = T)"
course_satisfaction,"runif(1, 1, 3.2)"
institution_satisfaction,"runif(1, 1, 3.2)"
mentorship_satisfaction,"runif(1, 1, 3)"
progress_satisfaction,"runif(1, 1, 3)"
current_gpa,"abs(rnorm(1, 2, 0.5))"
distance_from_campus,"abs(round(rnorm(1, 14, 2)))"
rstudio_community_posts,"sample(0:2, 1, replace = T)"
blog_posts,"sample(0:1, 1, replace = T)"
has_repeated_courses,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.95, 0.05))"
user_group_member,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.15, 0.85))"
goal_setting,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.25, 0.75))"
exercise_routine,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.05, 0.95))"
sleep_7_hours,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.05, 0.95))"
has_morning_routine,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.05, 0.95))"
in_state,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.75, 0.25))"
scholarship,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.25, 0.75))"
full_time,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.8, 0.2))"
has_dependents,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.4, 0.6))"
has_opensource_contrib,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.6, 0.4))"
package_author,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.3, 0.7))"
conference_speaker,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.3, 0.7))"
eats_breakfast,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.8, 0.2))"
caffine_drinker,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.8, 0.2))"
meditation_routine,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.25, 0.75))"
snooze_alarm,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.6, 0.4))"
self_care_rituals,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.6, 0.4))"
hs_gpa,"runif(1, 2.75, 4)"
age,"abs(rnorm(1, 30, 5))"
twitter_user,"sample(c(TRUE,FALSE), 1, replace = T, prob = c(0.6, 0.4))"
major,"sample(majors, 1, replace=TRUE, prob=c(0.25, 0.25, 0.1, 0.1, 0.3))"
minor,"sample(minors, 1, replace = TRUE)"
risk,Yes
