"","majors_declared","course_satisfaction","institution_satisfaction","mentorship_satisfaction","progress_satisfaction","current_gpa","distance_from_campus","rstudio_community_posts","blog_posts","has_repeated_courses","user_group_member","goal_setting","exercise_routine","sleep_7_hours","has_morning_routine","in_state","scholarship","full_time","has_dependents","has_opensource_contrib","package_author","conference_speaker","eats_breakfast","caffine_drinker","meditation_routine","snooze_alarm","self_care_rituals","hs_gpa","age","twitter_user","major","minor","risk","student_id"
"1",1,4.26930594909936,3.62009040312842,4.8501875163056,3.3508617747575,3.45613494288409,8,22,16,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3.10702172724996,22.5549089390606,TRUE,"shiny","roxygen2","No",1
"2",2,4.38308812864125,4.62009935360402,4.51084360206733,4.59474997321377,3.87053565622773,9,12,11,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3.05347445746884,31.0269305267758,FALSE,"shiny","keras","No",2
"3",1,4.42793522030115,3.42706176871434,2.99492366460618,3.8643372306251,3.98789812321775,11,20,10,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3.56427161378087,20.9866773215296,FALSE,"shiny","readxl","No",3
"4",1,3.39235398592427,3.64514392102137,4.92040426825406,3.86329193343408,3.76771821995499,7,11,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3.1703526902711,29.8089207661792,TRUE,"sparklyr","recipes","No",4
"5",1,3.39829478459433,4.30239800037816,3.30019482027274,3.76087994303089,3.9689365865197,6,6,19,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2.76712866156595,22.8379338614768,FALSE,"plumber","packrat","No",5
"6",1,4.11250018328428,4.91100482270122,4.22507538588252,4.48372896725778,2.96489995415322,8,8,25,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3.9999366918928,32.5333163203609,TRUE,"tidyverse","recipes","No",6
"7",2,4.18879913026467,4.79868035437539,3.63957690203097,4.88958053389797,3.66275533050066,10,13,20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3.83078124379972,33.1250701829676,TRUE,"tidyverse","roxygen2","No",7
"8",1,3.23993007699028,4.84104765765369,3.9178272174322,4.49084689986194,3.36442086065654,9,19,12,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3.8591715740622,21.2204558258539,FALSE,"rmarkdown","ggplot2","No",8
"9",1,4.36558392830193,4.31141895381734,4.19252067065099,2.81958441436291,2.8852012361167,5,6,19,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3.49824383540545,37.0911761980504,FALSE,"rmarkdown","leaflet","No",9
"10",3,4.27703810296953,3.04309199471027,3.38938832620624,3.55758564017015,3.49854080769001,10,12,23,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3.58416313049383,32.3023486903655,FALSE,"sparklyr","carat","No",10
"11",1,3.18328808154911,3.9053800390102,3.47058334236499,3.89108713634778,3.20394774962915,7,4,16,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3.76646566326963,30.7637622967524,FALSE,"rmarkdown","Rcpp","No",11
"12",2,4.83954118564725,3.4775442071259,4.65711952821584,3.7152241030708,3.71242447820259,9,8,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3.33311422471888,29.4520282696248,FALSE,"tidyverse","dplyr","No",12
"13",1,4.06051104795188,4.09231187123805,4.12687494768761,3.28103468386689,3.05687936319737,13,14,21,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3.79885721259052,31.5207876979903,TRUE,"tidyverse","broom","No",13
